RV12, BBS12009.msf, tcoffee, 0.850, 0.630, clustalw, 0.906, 0.770, muscle, 0.906, 0.770
RV12, BBS12010.msf, tcoffee, 0.912, 0.760, clustalw, 0.870, 0.730, muscle, 0.906, 0.760
RV12, BBS12011.msf, tcoffee, 0.780, 0.460, clustalw, 0.727, 0.440, muscle, 0.735, 0.410
RV12, BBS12012.msf, tcoffee, 0.630, 0.480, clustalw, 0.535, 0.370, muscle, 0.603, 0.440
RV12, BBS12013.msf, tcoffee, 0.944, 0.850, clustalw, 0.919, 0.790, muscle, 0.929, 0.810
RV12, BBS12014.msf, tcoffee, 1.000, 1.000, clustalw, 1.000, 1.000, muscle, 1.000, 1.000
RV12, BBS12015.msf, tcoffee, 0.953, 0.910, clustalw, 0.901, 0.810, muscle, 0.931, 0.850
RV12, BBS12016.msf, tcoffee, 0.911, 0.820, clustalw, 0.846, 0.710, muscle, 0.852, 0.710
RV12, BBS12017.msf, tcoffee, 0.926, 0.810, clustalw, 0.890, 0.760, muscle, 0.883, 0.740
RV12, BBS12018.msf, tcoffee, 0.930, 0.860, clustalw, 0.931, 0.880, muscle, 0.933, 0.890
RV12, BBS12019.msf, tcoffee, 0.882, 0.770, clustalw, 0.872, 0.770, muscle, 0.881, 0.780
RV12, BBS12020.msf, tcoffee, 0.845, 0.730, clustalw, 0.838, 0.730, muscle, 0.833, 0.770
RV12, BBS12021.msf, tcoffee, 0.937, 0.850, clustalw, 0.871, 0.800, muscle, 0.930, 0.850
RV12, BBS12022.msf, tcoffee, 0.940, 0.890, clustalw, 0.895, 0.820, muscle, 0.826, 0.700
RV12, BBS12023.msf, tcoffee, 0.898, 0.810, clustalw, 0.839, 0.720, muscle, 0.867, 0.770
RV12, BBS12024.msf, tcoffee, 0.934, 0.870, clustalw, 0.918, 0.840, muscle, 0.916, 0.840
RV12, BBS12025.msf, tcoffee, 0.788, 0.680, clustalw, 0.628, 0.500, muscle, 0.765, 0.610
RV12, BBS12026.msf, tcoffee, 0.902, 0.660, clustalw, 0.842, 0.560, muscle, 0.896, 0.650
RV12, BBS12027.msf, tcoffee, 0.947, 0.810, clustalw, 0.912, 0.670, muscle, 0.931, 0.800
RV12, BBS12028.msf, tcoffee, 0.859, 0.700, clustalw, 0.810, 0.670, muscle, 0.823, 0.660
RV12, BBS12029.msf, tcoffee, 0.969, 0.910, clustalw, 0.952, 0.850, muscle, 0.953, 0.900
RV12, BBS12030.msf, tcoffee, 0.933, 0.850, clustalw, 0.943, 0.880, muscle, 0.913, 0.820
RV12, BBS12031.msf, tcoffee, 0.823, 0.650, clustalw, 0.764, 0.620, muscle, 0.825, 0.680
RV12, BBS12032.msf, tcoffee, 0.938, 0.750, clustalw, 0.802, 0.650, muscle, 0.786, 0.480
RV12, BBS12033.msf, tcoffee, 0.837, 0.730, clustalw, 0.741, 0.580, muscle, 0.777, 0.580
RV12, BBS12034.msf, tcoffee, 0.892, 0.800, clustalw, 0.899, 0.820, muscle, 0.884, 0.790
RV12, BBS12035.msf, tcoffee, 0.939, 0.690, clustalw, 0.818, 0.460, muscle, 0.926, 0.650
RV12, BBS12036.msf, tcoffee, 0.980, 0.950, clustalw, 0.964, 0.920, muscle, 0.953, 0.900
